RedFighter,BlueFighter,RedDecimalOdds,BlueDecimalOdds,RedImpliedProb,BlueImpliedProb,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,EmptyArena
Alexandre Pantoja,Kai Asakura,1.4,3.15,0.6923076923076924,0.3076923076923077,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,True,Flyweight,MALE,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,Orthodox,172.72,175.26,125,0,6,0,4.41,0.49,0.8,2.61,0.47,6,3,42,3,12,Orthodox,165.1,170.18,125,34,31,
Ciryl Gane,Alexander Volkov,1.263157894736842,4.0,0.7600000000000001,0.24000000000000005,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,0,4,0,5.13,0.57,0.2,0.45,0.63,4,4,44,0,12,Orthodox,200.66,203.2,250,0,1,0,5.49,0.6,0.5,0.58,0.21,7,2,33,3,9,Orthodox,193.04,205.74,245,34,36,
Bryce Mitchell,Kron Gracie,1.1052631578947367,7.25,0.8677165354330709,0.13228346456692913,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,2,0,0,3.74,0.44,0.5,0.47,0.25,1,2,7,0,1,Southpaw,175.26,177.8,145,1,0,0,2.3,0.58,1.6,3.45,0.41,6,2,22,0,7,Southpaw,177.8,177.8,145,30,36,
Nate Landwehr,Dooho Choi,1.7692307692307692,2.1,0.5427435387673957,0.4572564612326044,2024-12-07,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,0,1,1,4.41,0.53,0.8,0.75,0.37,3,3,15,0,4,Orthodox,177.8,177.8,145,0,1,0,6.25,0.46,1.0,1.0,0.41,3,3,17,0,5,Orthodox,175.26,182.88,145,36,33,
Dominick Reyes,Anthony Smith,1.263157894736842,4.0,0.7600000000000001,0.24000000000000005,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,MALE,3,1,0,0,3.24,0.49,0.6,0.46,0.26,3,12,63,1,15,Orthodox,193.04,193.04,205,0,1,0,4.87,0.5,0.3,0.35,0.28,6,4,21,2,7,Southpaw,193.04,195.58,205,34,36,
Movsar Evloev,Aljamain Sterling,1.4201680672268908,2.95,0.6750312469954812,0.3249687530045188,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,1,0,4.61,0.52,0.7,2.31,0.27,9,4,57,5,16,Orthodox,170.18,180.34,145,0,8,0,4.43,0.48,0.2,4.75,0.46,8,0,24,0,8,Orthodox,170.18,182.88,145,30,35,
Randy Brown,Bryan Battle,2.5,1.5555555555555556,0.3835616438356164,0.6164383561643836,2024-12-07,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,0,3,0,5.44,0.53,0.5,0.96,0.23,3,1,16,0,6,Orthodox,185.42,195.58,170,0,3,0,4.38,0.47,0.6,0.72,0.39,4,5,43,0,13,Orthodox,190.5,198.12,170,34,30,
Chris Weidman,Eryk Anders,1.8928571428571428,1.925925925925926,0.5043297540699688,0.4956702459300312,2024-12-07,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,MALE,3,0,1,0,3.41,0.47,0.1,1.79,0.26,2,8,44,0,8,Southpaw,185.42,190.5,185,0,1,0,3.18,0.45,0.8,3.44,0.42,9,7,46,5,12,Orthodox,187.96,198.12,185,40,37,
Cody Durden,Joshua Van,2.42,1.5882352941176472,0.3962430290578221,0.6037569709421778,2024-12-07,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,MALE,3,0,1,0,8.39,0.53,0.0,1.62,0.63,3,1,14,0,4,Orthodox,165.1,165.1,125,0,1,1,3.35,0.5,0.9,4.36,0.5,4,4,24,0,6,Southpaw,170.18,170.18,125,33,23,
Michael Chiesa,Max Griffin,1.7692307692307692,2.1,0.5427435387673957,0.4572564612326044,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,1,0,3.92,0.49,0.3,1.45,0.41,3,8,44,0,8,Orthodox,180.34,193.04,170,0,1,0,1.86,0.4,1.0,3.35,0.51,4,7,41,1,12,Southpaw,185.42,190.5,170,37,39,
